date;amount;cumulative
2020-09-25;0,0;-5943,879999999967
2020-09-26;311,86;-5632,019999999968
2020-09-27;0,0;-5632,019999999968
2020-09-28;109,36;-5522,659999999968
2020-09-29;0,0;-5522,659999999968
2020-09-30;0,0;-5522,659999999968
2020-10-01;0,0;-5522,659999999968
2020-10-02;0,0;-5522,659999999968
2020-10-03;213,88;-5308,779999999968
2020-10-04;0,0;-5308,779999999968
2020-10-05;0,0;-5308,779999999968
2020-10-06;0,0;-5308,779999999968
2020-10-07;0,0;-5308,779999999968
2020-10-08;0,0;-5308,779999999968
2020-10-09;0,0;-5308,779999999968
2020-10-10;0,0;-5308,779999999968
2020-10-11;0,0;-5308,779999999968
2020-10-12;587,08;-4721,699999999968
2020-10-13;0,0;-4721,699999999968
2020-10-14;0,0;-4721,699999999968
2020-10-15;0,0;-4721,699999999968
2020-10-16;0,0;-4721,699999999968
2020-10-17;0,0;-4721,699999999968
2020-10-18;0,0;-4721,699999999968
2020-10-19;0,0;-4721,699999999968
2020-10-20;0,0;-4721,699999999968
2020-10-21;145,04;-4576,659999999968
2020-10-22;0,0;-4576,659999999968
2020-10-23;0,0;-4576,659999999968
2020-10-24;109,94;-4466,719999999968
2020-10-25;0,0;-4466,719999999968
2020-10-26;311,86;-4154,859999999969
2020-10-27;0,0;-4154,859999999969
2020-10-28;109,36;-4045,4999999999686
2020-10-29;0,0;-4045,4999999999686
2020-10-30;0,0;-4045,4999999999686
2020-10-31;0,0;-4045,4999999999686
2020-11-01;0,0;-4045,4999999999686
2020-11-02;0,0;-4045,4999999999686
2020-11-03;213,88;-3831,6199999999685
2020-11-04;0,0;-3831,6199999999685
2020-11-05;0,0;-3831,6199999999685
2020-11-06;0,0;-3831,6199999999685
2020-11-07;0,0;-3831,6199999999685
2020-11-08;0,0;-3831,6199999999685
2020-11-09;0,0;-3831,6199999999685
2020-11-10;0,0;-3831,6199999999685
2020-11-11;0,0;-3831,6199999999685
2020-11-12;587,08;-3244,5399999999686
2020-11-13;0,0;-3244,5399999999686
2020-11-14;0,0;-3244,5399999999686
2020-11-15;0,0;-3244,5399999999686
2020-11-16;0,0;-3244,5399999999686
2020-11-17;0,0;-3244,5399999999686
2020-11-18;0,0;-3244,5399999999686
2020-11-19;0,0;-3244,5399999999686
2020-11-20;0,0;-3244,5399999999686
2020-11-21;145,04;-3099,4999999999686
2020-11-22;0,0;-3099,4999999999686
2020-11-23;0,0;-3099,4999999999686
2020-11-24;109,94;-2989,5599999999686
2020-11-25;0,0;-2989,5599999999686
2020-11-26;311,86;-2677,6999999999684
2020-11-27;0,0;-2677,6999999999684
2020-11-28;109,36;-2568,3399999999683
2020-11-29;0,0;-2568,3399999999683
2020-11-30;0,0;-2568,3399999999683
2020-12-01;0,0;-2568,3399999999683
2020-12-02;0,0;-2568,3399999999683
2020-12-03;213,88;-2354,459999999968
2020-12-04;0,0;-2354,459999999968
2020-12-05;0,0;-2354,459999999968
2020-12-06;0,0;-2354,459999999968
2020-12-07;-2000,0;-4354,459999999968
2020-12-08;0,0;-4354,459999999968
2020-12-09;0,0;-4354,459999999968
2020-12-10;0,0;-4354,459999999968
2020-12-11;0,0;-4354,459999999968
2020-12-12;587,08;-3767,3799999999683
2020-12-13;0,0;-3767,3799999999683
2020-12-14;0,0;-3767,3799999999683
2020-12-15;0,0;-3767,3799999999683
2020-12-16;0,0;-3767,3799999999683
2020-12-17;0,0;-3767,3799999999683
2020-12-18;0,0;-3767,3799999999683
2020-12-19;0,0;-3767,3799999999683
2020-12-20;0,0;-3767,3799999999683
2020-12-21;0,0;-3767,3799999999683
2020-12-22;0,0;-3767,3799999999683
2020-12-23;0,0;-3767,3799999999683
2020-12-24;109,94;-3657,439999999968
2020-12-25;0,0;-3657,439999999968
2020-12-26;311,86;-3345,579999999968
2020-12-27;0,0;-3345,579999999968
2020-12-28;109,36;-3236,219999999968
2020-12-29;0,0;-3236,219999999968
2020-12-30;0,0;-3236,219999999968
2020-12-31;0,0;-3236,219999999968
2021-01-01;0,0;-3236,219999999968
2021-01-02;0,0;-3236,219999999968
2021-01-03;213,88;-3022,339999999968
2021-01-04;0,0;-3022,339999999968
2021-01-05;0,0;-3022,339999999968
2021-01-06;0,0;-3022,339999999968
2021-01-07;0,0;-3022,339999999968
2021-01-08;0,0;-3022,339999999968
2021-01-09;0,0;-3022,339999999968
2021-01-10;0,0;-3022,339999999968
2021-01-11;0,0;-3022,339999999968
2021-01-12;587,08;-2435,259999999968
2021-01-13;0,0;-2435,259999999968
2021-01-14;0,0;-2435,259999999968
2021-01-15;180,51;-2254,749999999968
2021-01-16;0,0;-2254,749999999968
2021-01-17;0,0;-2254,749999999968
2021-01-18;0,0;-2254,749999999968
2021-01-19;0,0;-2254,749999999968
2021-01-20;0,0;-2254,749999999968
2021-01-21;0,0;-2254,749999999968
2021-01-22;0,0;-2254,749999999968
2021-01-23;0,0;-2254,749999999968
2021-01-24;108,73;-2146,019999999968
2021-01-25;0,0;-2146,019999999968
2021-01-26;311,86;-1834,159999999968
2021-01-27;0,0;-1834,159999999968
2021-01-28;109,36;-1724,7999999999681
2021-01-29;0,0;-1724,7999999999681
2021-01-30;0,0;-1724,7999999999681
2021-01-31;0,0;-1724,7999999999681
2021-02-01;0,0;-1724,7999999999681
2021-02-02;0,0;-1724,7999999999681
2021-02-03;213,88;-1510,9199999999682
2021-02-04;0,0;-1510,9199999999682
2021-02-05;0,0;-1510,9199999999682
2021-02-06;0,0;-1510,9199999999682
2021-02-07;0,0;-1510,9199999999682
2021-02-08;0,0;-1510,9199999999682
2021-02-09;0,0;-1510,9199999999682
2021-02-10;0,0;-1510,9199999999682
2021-02-11;0,0;-1510,9199999999682
2021-02-12;587,08;-923,8399999999682
2021-02-13;0,0;-923,8399999999682
2021-02-14;0,0;-923,8399999999682
2021-02-15;180,51;-743,3299999999682
2021-02-16;0,0;-743,3299999999682
2021-02-17;0,0;-743,3299999999682
2021-02-18;0,0;-743,3299999999682
2021-02-19;0,0;-743,3299999999682
2021-02-20;0,0;-743,3299999999682
2021-02-21;0,0;-743,3299999999682
2021-02-22;0,0;-743,3299999999682
2021-02-23;0,0;-743,3299999999682
2021-02-24;106,42;-636,9099999999682
2021-02-25;0,0;-636,9099999999682
2021-02-26;311,86;-325,04999999996824
2021-02-27;0,0;-325,04999999996824
2021-02-28;109,36;-215,68999999996822
2021-03-01;0,0;-215,68999999996822
2021-03-02;0,0;-215,68999999996822
2021-03-03;213,88;-1,8099999999682268
2021-03-04;0,0;-1,8099999999682268
2021-03-05;0,0;-1,8099999999682268
2021-03-06;0,0;-1,8099999999682268
2021-03-07;0,0;-1,8099999999682268
2021-03-08;0,0;-1,8099999999682268
2021-03-09;0,0;-1,8099999999682268
2021-03-10;0,0;-1,8099999999682268
